Lvl from,Lvl to,Cost,Diff réelle,Cumul
139,140,2300000,100000,44873700
140,141,2400000,100000,47273700
141,142,2600000,200000,49873700
142,143,2700000,100000,52573700
143,144,2900000,200000,55473700
144,145,3000000,100000,58473700
145,146,3200000,200000,61673700
146,147,3300000,100000,64973700
147,148,3500000,200000,68473700
148,149,3600000,100000,72073700
149,150,3800000,200000,75873700
150,151,4000000,200000,79873700
151,152,4200000,200000,84073700
152,153,4400000,200000,88473700
153,154,4600000,200000,93073700
154,155,4800000,200000,97873700
155,156,5000000,200000,102873700
156,157,5200000,200000,108073700
157,158,5400000,200000,113473700
158,159,5600000,200000,119073700
159,160,5800000,200000,124873700
160,161,6000000,200000,130873700
161,162,6300000,300000,137173700
162,163,6500000,200000,143673700
163,164,6800000,300000,150473700
164,165,7000000,200000,157473700
165,166,7300000,300000,164773700
166,167,7500000,200000,172273700
167,168,7800000,300000,180073700
168,169,8000000,200000,188073700
169,170,8300000,300000,196373700
170,171,8600000,300000,204973700
171,172,9000000,400000,213973700
172,173,9300000,300000,223273700
173,174,9700000,400000,232973700
174,175,10000000,300000,242973700
175,176,10400000,400000,253373700
176,177,10700000,300000,264073700
177,178,11100000,400000,275173700
178,179,11400000,300000,286573700
179,180,11800000,400000,298373700
180,181,12100000,300000,310473700
181,182,12500000,400000,322973700
182,183,12900000,400000,335873700
183,184,13300000,400000,349173700
184,185,13700000,400000,362873700
185,186,14200000,500000,377073700
186,187,14600000,400000,391673700
187,188,15100000,500000,406773700
188,189,15600000,500000,422373700
189,190,16000000,400000,438373700
190,191,16500000,500000,454873700
191,192,17100000,600000,471973700
192,193,17600000,500000,489573700
193,194,18100000,500000,507673700
194,195,18700000,600000,526373700
195,196,19200000,500000,545573700
196,197,19800000,600000,565373700
197,198,20400000,600000,585773700
198,199,21000000,600000,606773700
199,200,21600000,600000,628373700
200,201,22300000,700000,650673700
201,202,22900000,600000,673573700
202,203,23600000,700000,697173700
203,204,24300000,700000,721473700
204,205,25000000,700000,746473700
205,206,25700000,700000,772173700
206,207,26500000,800000,798673700
207,208,27200000,700000,825873700
208,209,28000000,800000,853873700
209,210,28800000,800000,882673700
210,211,29600000,800000,912273700
211,212,30400000,800000,942673700
212,213,31200000,800000,973873700
213,214,32100000,900000,1005973700
214,215,33000000,900000,1038973700
215,216,33900000,900000,1072873700
216,217,34800000,900000,1107673700
217,218,35800000,1000000,1143473700
218,219,36700000,900000,1180173700
219,220,37700000,1000000,1217873700
220,221,38700000,1000000,1256573700
221,222,39700000,1000000,1296273700
222,223,40800000,1100000,1337073700
223,224,41800000,1000000,1378873700
224,225,42900000,1100000,1421773700
225,226,44000000,1100000,1465773700
226,227,45200000,1200000,1510973700
227,228,46300000,1100000,1557273700
228,229,47500000,1200000,1604773700
229,230,48700000,1200000,1653473700
230,231,50000000,1300000,1703473700
231,232,51200000,1200000,1754673700
232,233,52500000,1300000,1807173700
233,234,53800000,1300000,1860973700
234,235,55100000,1300000,1916073700
235,236,56500000,1400000,1972573700
236,237,57900000,1400000,2030473700
237,238,59300000,1400000,2089773700
238,239,60700000,1400000,2150473700
239,240,62200000,1500000,2212673700
240,241,63700000,1500000,2276373700
241,242,65200000,1500000,2341573700
242,243,66700000,1500000,2408273700
243,244,68300000,1600000,2476573700
244,245,69900000,1600000,2546473700
245,246,71500000,1600000,2617973700
246,247,73200000,1700000,2691173700
247,248,74900000,1700000,2766073700
248,249,76600000,1700000,2842673700
249,250,78400000,1800000,2921073700
250,251,80200000,1800000,3001273700
251,252,82000000,1800000,3083273700
252,253,83800000,1800000,3167073700
253,254,85700000,1900000,3252773700
254,255,87600000,1900000,3340373700
255,256,89600000,2000000,3429973700
256,257,91600000,2000000,3521573700
257,258,93600000,2000000,3615173700
258,259,95700000,2100000,3710873700
259,260,97700000,2000000,3808573700
260,261,99900000,2200000,3908473700
261,262,102000000,2100000,4010473700
262,263,104200000,2200000,4114673700
263,264,106500000,2300000,4221173700
264,265,108700000,2200000,4329873700
265,266,111000000,2300000,4440873700
266,267,113400000,2400000,4554273700
267,268,115800000,2400000,4670073700
268,269,118200000,2400000,4788273700
269,270,120700000,2500000,4908973700
270,271,123200000,2500000,5032173700
271,272,125700000,2500000,5157873700
272,273,128300000,2600000,5286173700
273,274,130900000,2599999,5417073700
274,275,133600000,2700000,5550673700
275,276,136300000,2700000,5686973700
276,277,139100000,2800000,5826073700
277,278,141800000,2700000,5967873700
278,279,144700000,2900000,6112573700
279,280,147600000,2900000,6260173700
280,281,150500000,2900000,6410673700
281,282,153500000,3000000,6564173700
282,283,156500000,3000000,6720673700
283,284,159600000,3100000,6880273700
284,285,162700000,3100000,7042973700
285,286,165800000,3100000,7208773700
286,287,169000000,3200000,7377773700
287,288,172300000,3300000,7550073700
288,289,175600000,3300000,7725673700
289,290,178900000,3300000,7904573700
290,291,182300000,3400000,8086873700
291,292,185800000,3500000,8272673700
292,293,189300000,3500000,8461973700
293,294,192800000,3500000,8654773700
294,295,196400000,3600000,8851173700
295,296,200100000,3700000,9051273700
296,297,203800000,3700000,9255073700
297,298,207600000,3800000,9462673700
298,299,211400000,3800000,9674073700
299,300,215200000,3800000,9889273700
